activation,alpha,layers,neurons,val_mse_scaled,val_mse_unscaled
tanh,0.0001,35,60,0.7606552922435741,42.69782227862133
tanh,0.0001,40,10,0.7615071352918663,42.264843145489316
tanh,0.0001,32,60,0.7631131618096682,44.05394751897263
tanh,0.0001,35,10,0.7632203968546778,42.29738250365491
tanh,0.0001,25,80,0.7673479790997434,42.94152851301716
tanh,0.0001,39,10,0.769056540341734,44.16282190757819
tanh,0.0001,32,20,0.7693877727747964,52.21195002045312
tanh,0.0001,37,80,0.7697508589997233,40.80704501420576
tanh,0.0001,34,10,0.7735114546479458,46.03383438523133
tanh,0.0001,39,80,0.78222339185737,44.18344573487495
tanh,0.0001,36,60,0.7824836131142031,54.149171098115794
tanh,0.0001,31,10,0.7830629153376419,41.32802511293692
tanh,0.0001,38,40,0.7883259139426052,49.32600200290347
tanh,0.0001,35,80,0.7897770610776623,40.66513634894918
tanh,0.0001,37,40,0.7936279692751558,55.894983844730596
tanh,0.0001,33,20,0.8011141890822692,46.260951223888505
tanh,0.0001,36,20,0.8018437968557713,53.60291478604627
tanh,0.0001,39,40,0.806545165528995,46.22734073571776
tanh,0.0001,28,80,0.8096693245939938,57.22319515664383
tanh,0.0001,35,40,0.8154583194006818,56.9455442379208
tanh,0.0001,34,60,0.8202249822083489,60.72678869617419
tanh,0.0001,38,20,0.8227145588758348,54.00383970275216
tanh,0.0001,32,80,0.8246635067213963,56.47355305280228
tanh,0.0001,30,80,0.8457676520821673,52.44921130163657
tanh,0.0001,40,80,0.8548658075046655,48.34535162997579
tanh,0.0001,39,60,0.8645540389842499,62.673876343100574
tanh,0.0001,37,10,0.8926618507427185,71.8231879300978
tanh,0.0001,37,60,0.8982199577288118,76.25576909018149
tanh,0.0001,33,80,0.9078683528140016,70.29179856340774
tanh,0.0001,31,80,0.9084504035979233,67.02429633664488
tanh,0.0001,33,60,0.9271434913596978,78.3764184628819
